variable,frequency,timestep,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio
TMQ,daily,17,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,18,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,19,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,20,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,21,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,22,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,23,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TREFHT,daily,0,5,53514134.0,1.755997714547712,22,59738934.0,1.5730226622390016
TREFHT,daily,1,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,2,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,3,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,4,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,5,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,6,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,7,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,8,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,9,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,10,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,11,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,12,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,13,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,14,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,15,5,53514134.0,1.755997714547712,22,59738934.0,1.5730226622390016
TREFHT,daily,16,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,17,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,18,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,19,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,20,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,21,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,22,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHT,daily,23,6,71625105.0,1.3119798847066262,22,59738934.0,1.5730226622390016
TREFHTMN,daily,0,5,54705363.0,1.7374422138465657,22,62575654.0,1.5189199141250684
TREFHTMN,daily,1,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,2,5,54705363.0,1.7374422138465657,20,52484516.0,1.8109609127385304
TREFHTMN,daily,3,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,4,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,5,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,6,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
